techs,demand_electricity
nodes,ITA
2017-01-01 00:00,0.2251498963552488
2017-01-01 01:00,0.21157990260201442
2017-01-01 02:00,0.19806990882115982
2017-01-01 03:00,0.19095991209415197
2017-01-01 04:00,0.19090991211716876
2017-01-01 05:00,0.19765990900989772
2017-01-01 06:00,0.20007990789588356
2017-01-01 07:00,0.20272990667599197
2017-01-01 08:00,0.21530990088495944
2017-01-01 09:00,0.2268098955910903
2017-01-01 10:00,0.23575989147107912
2017-01-01 11:00,0.23885989004403613
2017-01-01 12:00,0.22580989605142682
2017-01-01 13:00,0.21646990035096916
2017-01-01 14:00,0.2211098982150081
2017-01-01 15:00,0.23863989014531015
2017-01-01 16:00,0.2774998722566358
2017-01-01 17:00,0.2907498661571779
2017-01-01 18:00,0.29649986351024327
2017-01-01 19:00,0.29289986516745453
2017-01-01 20:00,0.2814298704475136
2017-01-01 21:00,0.26073987997187464
2017-01-01 22:00,0.2365798910936032
2017-01-01 23:00,0.21251990216929814
